Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3192,0.8,-0.000622,
0.002,-0.3185,0.8,0.000622,
0.004,-0.321,0.8,-0.004888,
0.006,-0.3192,0.8,0.001066,
0.008,-0.3228,0.8,-0.0016,
0.01,-0.3259,0.8,-0.000533,
0.012,-0.3246,0.8,0,
0.014,-0.3308,0.7,-0.002222,
0.016,-0.3387,0.5,-0.008711,
0.018,-0.3558,0.2,-0.010844,
0.02,-0.3912,0.1,-0.019555,
0.022,-0.4516,0.1,-0.031466,
0.024,-0.5273,0.1,-0.039111,
0.026,-0.617,0.2,-0.0488,
0.028,-0.7238,0.2,-0.054222,
0.03,-0.8428,0.4,-0.060177,
0.032,-0.9771,0.3,-0.068355,
0.034,-1.1138,0.5,-0.071555,
0.036,-1.264,0.5,-0.076533,
0.038,-1.4221,0.6,-0.080355,
0.04,-1.5826,0.6,-0.080888,
0.042,-1.7462,0.6,-0.085244,
0.044,-1.9195,0.7,-0.084622,
0.046,-2.0941,0.7,-0.085777,
0.048,-2.2735,0.7,-0.092266,
0.05,-2.4542,0.7,-0.095555,
0.052,-2.6354,0.7,-0.087822,
0.054,-2.824,0.7,-0.096533,
0.056,-3.0096,0.7,-0.0944,
0.058,-3.2134,0.6,-0.101422,
0.06,-3.4075,0.6,-0.100355,
0.062,-3.6132,0.6,-0.103644,
0.064,-3.8299,0.5,-0.109066,
0.066,-4.0527,0.5,-0.115022,
0.068,-4.2803,0.5,-0.117688,
0.07,-4.5202,0.5,-0.119377,
0.072,-4.7735,0.5,-0.124799,
0.074,-5.0317,0.4,-0.132977,
0.076,-5.3015,0.4,-0.137333,
0.078,-5.581,0.4,-0.141066,
0.08,-5.8697,0.4,-0.144355,
0.082,-6.1712,0.4,-0.150311,
0.084,-6.4831,0.4,-0.160088,
0.086,-6.8035,0.4,-0.159466,
0.088,-7.1343,0.5,-0.165955,
0.09,-7.4731,0.4,-0.170933,
0.092,-7.8271,0.4,-0.179022,
