Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.158,-1.4,4.203,-0.0016,
0.002,-0.1593,-1.2,4.547,0.004266,
0.004,-0.1617,-1.5,-0.756,-0.0016,
0.006,-0.1593,-1.5,1.842,0.002666,
0.008,-0.1678,-1.5,-5.435,-0.008711,
0.01,-0.1794,-1.4,6.669,-0.003822,
0.012,-0.18,-1.3,4.669,-0.000533,
0.014,-0.1843,-1.7,-0.625,0.002666,
0.016,-0.1982,-1.9,1.446,-0.004355,
0.018,-0.2348,-2.3,-9.231,-0.020622,
0.02,-0.2977,-2.7,-5.497,-0.036355,
0.022,-0.3966,-2.7,-7.014,-0.052088,
0.024,-0.5418,-3,-13.065,-0.075911,
0.026,-0.7213,-2.8,-12.996,-0.095466,
0.028,-0.9489,-2.7,-15.835,-0.119288,
0.03,-1.2145,-2.9,-4.818,-0.135111,
0.032,-1.5147,-2.6,-10.179,-0.154577,
0.034,-1.859,-2.9,-14.087,-0.176355,
0.036,-2.2313,-2.5,-12.696,-0.190933,
0.038,-2.6353,-2.2,-5.495,-0.206666,
0.04,-3.0687,-2.3,2.09,-0.216444,
0.042,-3.5252,-2.1,1.048,-0.226755,
0.044,-4.0031,-2.3,-1.585,-0.237599,
0.046,-4.5006,-2.1,-6.528,-0.250133,
0.048,-5.0212,-1.9,-3.209,-0.262577,
0.05,-5.5492,-2,-0.31,-0.266933,
0.052,-6.0924,-1.9,-3.59,-0.275111,
0.054,-6.6582,-2.1,-5.467,-0.281066,
0.056,-7.2282,-2,-2.811,-0.2864,
0.058,-7.8172,-1.8,-3.86,-0.297244,
0.06,-8.4178,-2.1,-2.031,-0.303288,
0.062,-9.0392,-2,-6.149,-0.3136,
0.064,-9.6849,-2.3,-7.314,-0.325511,
0.066,-10.3465,-1.9,-4.344,-0.331466,
0.068,-11.0362,-1.9,-5.194,-0.345066,
0.07,-11.7442,-2.1,1.353,-0.354755,
0.072,-12.4773,-2,-1.265,-0.364622,
0.074,-13.2225,-2.1,-11.065,-0.377066,
0.076,-13.9769,-2.1,-1.189,-0.3776,
0.078,-14.7374,-2,-2.896,-0.385155,
0.08,-15.5022,-2.2,0.984,-0.384177,
0.082,-16.2773,-2.1,-3.937,-0.389511,
0.084,-17.0696,-2.4,-5.774,-0.397688,
0.086,-17.8813,-2.1,-6.832,-0.408,
0.088,-18.7083,-2,-7.185,-0.416622,
0.09,-19.5586,-2.3,-4.143,-0.427022,
0.092,-20.432,-1.9,-5.099,-0.441599,
0.094,-21.3335,-2,-8.769,-0.453599,
0.096,-22.2685,-1.7,-8.72,-0.469244,
0.098,-23.2311,-1.6,-2.762,-0.485066,
0.1,-24.1905,-1.4,7.074,-0.474666,
0.102,-25.1396,-1.3,2.399,-0.474666,
0.104,-26.0637,-1.3,5.574,-0.457333,
